DEAL_ID,COMPANY_ID_NUMERIC_DEAL_DATE_FACT,DEAL_STAGE_DATE,OPPORTUNITY_(DEAL),OPPORTUNITY_AMOUNT,BUSINESS_CASE_PROPOSAL,BUSINESS_CASE_PROPOSAL_AMOUNT,DEAL_STAGE_NEGOTIATION_DATE,NEGOTIATION,NEGOTIATION_AMOUNT,DEAL_STAGE_VERBAL_AGREEMENT_DATE,VERBAL_AGREEMENT,VERBAL_AGREEMENT_AMOUNT,DEAL_STAGE_CLOSED_LOST_DATE,CLOSED_LOST,CLOSED_LOST_AMOUNT,DEAL_ID_BOOKING_FACT,BOOKING,BOOKING_AMOUNT
26167836750,6491734281,2019-11-07 00:00:00.000,,,,,2019-11-07 00:00:00.000,1,4444.444444444,,,,,,,,,
11772240240,1535948256,2018-12-07 00:00:00.000,,,,,2018-12-07 00:00:00.000,1,397.777777778,,,,,,,,,
160745736510,817568523,2021-06-28 00:00:00.000,,,,,2021-06-28 00:00:00.000,1,4666.666666667,2021-06-28 00:00:00.000,1,4941.176470588,,,,,,
164242483710,3352733718,2021-08-12 00:00:00.000,,,,,2021-08-12 00:00:00.000,1,4629.62962963,,,,,,,,,
31914666840,7835923881,2020-01-20 00:00:00.000,,,,,2020-01-20 00:00:00.000,1,3726.666666667,,,,,,,,,
89150204220,8375511561,2020-12-07 00:00:00.000,,,,,2020-12-07 00:00:00.000,1,3555.555555556,2020-12-07 00:00:00.000,1,3764.705882353,,,,,,
33524094690,7586327463,2020-01-30 00:00:00.000,,,,,2020-01-30 00:00:00.000,1,2444.444444444,,,,,,,,,
156596437560,8871158331,2021-06-03 00:00:00.000,,,,,2021-06-03 00:00:00.000,1,3066.666666667,,,,,,,,,
103703341230,13683409857,2021-01-05 00:00:00.000,,,,,2021-01-05 00:00:00.000,1,2738.888888889,,,,,,,,,
91022521080,9524347230,2020-11-05 00:00:00.000,,,,,2020-11-05 00:00:00.000,1,4888.888888889,,,,,,,,,
41479306950,2260213197,2020-11-17 00:00:00.000,,,,,2020-11-17 00:00:00.000,1,5100,,,,,,,,,
