ACCOUNT_ID,MONTH,MRR
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-06-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-07-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-08-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-12-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-01-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2020-02-01,450.980392157
f0e1f305f6d466360bc05127655ad953dccf6f72d90f3a166e0c73ba2e66fec7,2019-04-01,450.980392157
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2018-03-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2019-05-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2019-06-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2017-12-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2018-02-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2018-09-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2018-12-01,352.941176471
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2020-07-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2022-09-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-10-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-10-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-02-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2020-03-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-06-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2020-06-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2022-01-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-01-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-03-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-08-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2022-03-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2022-12-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-06-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2023-04-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-04-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-09-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2019-08-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2019-09-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-02-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-05-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2020-05-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-11-01,0
e54da430ec3949cdfa0a6cd31d9270b778a83d50d7a7bf6126ee26fdd47f4291,2021-08-01,0
e293d69eacbe1af2b1261cbcc0ab9f99e321f07f5374d2c637f4bb1eec4af758,2023-12-01,196.078431373
e293d69eacbe1af2b1261cbcc0ab9f99e321f07f5374d2c637f4bb1eec4af758,2023-06-01,196.078431373
